Ticker,Name,Price,Change,% Change,Volume
LUMN,"Lumen Technologies, Inc.",1.1800,+0.0200,+1.72%,9.211M
HYZN,Hyzon Motors Inc.,0.3375,+0.0243,+7.76%,"517,129"
TIGR,UP Fintech Holding Limited,4.5300,-0.0800,-1.74%,"300,723"
MNMD,Mind Medicine (MindMed) Inc.,7.46,-0.01,-0.13%,"831,723"
DOLE,Dole plc,12.81,+0.14,+1.10%,"379,391"
AVIR,"Atea Pharmaceuticals, Inc.",3.4300,+0.0600,+1.78%,"163,039"
FIGS,"FIGS, Inc.",5.74,+0.20,+3.61%,3.482M
VIR,"Vir Biotechnology, Inc.",9.37,+0.21,+2.29%,"875,581"
YSG,Yatsen Holding Limited,3.4900,-0.1200,-3.32%,"180,312"
DDD,3D Systems Corporation,3.9700,+0.1900,+5.03%,2.245M
SONO,"Sonos, Inc.",14.90,-0.06,-0.40%,1.262M
PEB,Pebblebrook Hotel Trust,13.32,-0.05,-0.37%,1.491M
GPRO,"GoPro, Inc.",1.6400,0.0000,0.00%,1.631M
VRM,"Vroom, Inc.",9.21,+0.04,+0.44%,"22,721"
INFN,Infinera Corporation,6.07,-0.08,-1.30%,5.327M
JKS,"JinkoSolar Holding Co., Ltd.",23.21,+0.31,+1.35%,"564,964"
PLYA,Playa Hotels & Resorts N.V.,8.47,0.00,0.00%,"460,613"
ABCL,AbCellera Biologics Inc.,3.1200,-0.0100,-0.32%,1.718M
EXK,Endeavour Silver Corp.,4.7400,-0.1000,-2.07%,6.508M
CCO,"Clear Channel Outdoor Holdings, Inc.",1.7200,+0.0400,+2.38%,1.869M
PGRE,"Paramount Group, Inc.",5.10,+0.15,+3.03%,1.404M
BW,"Babcock & Wilcox Enterprises, Inc.",2.0500,0.0000,0.00%,1.032M
NOVA,Sunnova Energy International Inc.,7.68,+0.43,+5.93%,10.162M
PUMP,ProPetro Holding Corp.,8.42,+0.03,+0.36%,"678,820"
YALA,Yalla Group Limited,4.7000,+0.0100,+0.21%,"87,713"
