Ticker,Name,Price,Change,% Change,Volume
IGGRF,IG Group Holdings plc,11.00,+2.26,+25.86%,100
QS,QuantumScape Corporation,8.25,+1.19,+16.86%,62.795M
SOUN,"SoundHound AI, Inc.",6.20,+0.83,+15.46%,106.718M
LEGN,Legend Biotech Corporation,54.37,+5.87,+12.10%,4.879M
IREN,Iris Energy Limited,12.31,+1.11,+9.91%,17.726M
ASTS,"AST SpaceMobile, Inc.",13.01,+1.11,+9.33%,10.731M
MARA,"Marathon Digital Holdings, Inc.",20.77,+1.75,+9.20%,53.697M
HCM,HUTCHMED (China) Limited,19.40,+1.62,+9.11%,"252,985"
RXRX,"Recursion Pharmaceuticals, Inc.",8.36,+0.68,+8.85%,10.133M
KYMR,"Kymera Therapeutics, Inc.",42.30,+3.30,+8.46%,1.007M
RIVN,"Rivian Automotive, Inc.",18.11,+1.35,+8.05%,96.941M
NATL,NCR Atleos Corporation,30.05,+2.16,+7.74%,2.017M
RYTM,"Rhythm Pharmaceuticals, Inc.",50.02,+3.42,+7.34%,"624,144"
RUN,Sunrun Inc.,17.20,+1.13,+7.03%,19.206M
FLMMF,Filo Corp.,20.56,+1.32,+6.86%,"17,780"
ENPH,"Enphase Energy, Inc.",119.34,+7.66,+6.86%,5.626M
JOBY,"Joby Aviation, Inc.",6.61,+0.40,+6.44%,14.265M
RNG,"RingCentral, Inc.",30.76,+1.80,+6.22%,1.85M
IPAR,"Inter Parfums, Inc.",129.43,+7.55,+6.19%,"251,584"
USLM,"United States Lime & Minerals, Inc.",395.38,+22.75,+6.11%,"31,382"
TEM,"Tempus AI, Inc",39.76,+2.26,+6.03%,1.631M
RKLB,"Rocket Lab USA, Inc.",5.65,+0.32,+6.00%,11.178M
CLSK,"CleanSpark, Inc.",15.85,+0.89,+5.95%,29.134M
BABAF,Alibaba Group Holding Limited,10.00,+0.56,+5.93%,"18,400"
OTGLY,CD Projekt S.A.,10.06,+0.56,+5.89%,"55,104"
F,Ford Motor Company,14.03,+0.56,+4.16%,84.534M
UAL,"United Airlines Holdings, Inc.",44.72,-0.92,-2.02%,8.966M
GM,General Motors Company,49.01,+1.08,+2.25%,15.702M
APA,APA Corporation,29.97,+0.18,+0.60%,4.198M
LAUR,"Laureate Education, Inc.",15.16,+0.10,+0.66%,"514,041"
AEO,"American Eagle Outfitters, Inc.",21.17,+0.09,+0.40%,3.052M
HAL,Halliburton Company,33.94,+0.32,+0.95%,6.776M
CVS,CVS Health Corporation,59.00,+0.79,+1.36%,6.832M
MTCH,"Match Group, Inc.",32.28,+0.73,+2.31%,6.573M
TIGR,UP Fintech Holding Limited,4.5300,-0.0800,-1.74%,"300,723"
BK,The Bank of New York Mellon Corporation,64.69,+3.22,+5.24%,9.386M
PYPL,"PayPal Holdings, Inc.",60.27,+0.28,+0.47%,8.057M
BRK-B,Berkshire Hathaway Inc.,424.44,+5.66,+1.35%,4.805M
DOLE,Dole plc,12.81,+0.14,+1.10%,"379,391"
NOV,NOV Inc.,18.52,+0.16,+0.87%,1.927M
CIG,Companhia Energética de Minas Gerais - CEMIG,1.9200,-0.0200,-1.03%,"659,289"
TGT,Target Corporation,152.85,+1.45,+0.96%,2.601M
ALK,"Alaska Air Group, Inc.",38.41,+0.50,+1.32%,2.244M
FOXA,Fox Corporation,35.73,+0.09,+0.25%,1.532M
URBN,"Urban Outfitters, Inc.",46.67,-1.39,-2.89%,1.9M
SLM,SLM Corporation,21.91,+0.20,+0.92%,1.066M
ACGL,Arch Capital Group Ltd.,96.50,-0.50,-0.52%,1.507M
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",10.64,+0.11,+1.04%,"504,765"
CNC,Centene Corporation,67.86,+0.61,+0.91%,3.922M
EURN,Euronav NV,16.31,0.00,0.00%,"156,752"
NVDA,NVIDIA Corporation,129.24,+1.84,+1.44%,247.608M
YMM,Full Truck Alliance Co. Ltd.,8.25,-0.08,-0.96%,6.299M
FSLR,"First Solar, Inc.",233.24,-0.21,-0.09%,1.581M
IMMR,Immersion Corporation,10.72,+0.11,+1.04%,"753,094"
GILT,Gilat Satellite Networks Ltd.,4.6300,+0.1100,+2.43%,"209,843"
SMCI,"Super Micro Computer, Inc.",909.96,+20.74,+2.33%,5.146M
OSIS,"OSI Systems, Inc.",143.35,+0.99,+0.70%,"78,114"
APLD,Applied Digital Corporation,6.20,+0.32,+5.44%,6.814M
KSPI,Joint Stock Company Kaspi.kz,133.25,+2.32,+1.77%,"82,313"
IONQ,"IonQ, Inc.",8.45,+0.43,+5.36%,5.709M
KVYO,"Klaviyo, Inc.",24.11,+0.25,+1.05%,"503,811"
PSQH,"PSQ Holdings, Inc.",3.9300,+0.0400,+1.03%,"29,605"
CRDO,Credo Technology Group Holding Ltd,30.87,+0.21,+0.68%,1.221M
SRAD,Sportradar Group AG,11.49,+0.20,+1.77%,"291,404"
NXT,Nextracker Inc.,51.76,+0.54,+1.05%,3.306M
GTLB,GitLab Inc.,50.95,-1.13,-2.17%,1.801M
RBRK,"Rubrik, Inc.",33.85,+0.86,+2.61%,"574,782"
NVDA,NVIDIA Corporation,129.24,+1.84,+1.44%,247.608M
LCID,"Lucid Group, Inc.",4.2500,+0.8500,+25.00%,167.127M
TSLA,"Tesla, Inc.",248.23,+7.20,+2.99%,155.178M
SOUN,"SoundHound AI, Inc.",6.20,+0.83,+15.46%,106.718M
