Ticker,Name,Price,Change,% Change,Volume
IGGRF,IG Group Holdings plc,11.00,+2.26,+25.86%,100
QS,QuantumScape Corporation,8.25,+1.19,+16.86%,62.796M
SOUN,"SoundHound AI, Inc.",6.20,+0.83,+15.46%,106.718M
LEGN,Legend Biotech Corporation,54.37,+5.87,+12.10%,4.879M
IREN,Iris Energy Limited,12.31,+1.11,+9.91%,17.726M
ASTS,"AST SpaceMobile, Inc.",13.01,+1.11,+9.33%,10.731M
MARA,"Marathon Digital Holdings, Inc.",20.77,+1.75,+9.20%,53.697M
HCM,HUTCHMED (China) Limited,19.40,+1.62,+9.11%,"252,985"
RXRX,"Recursion Pharmaceuticals, Inc.",8.36,+0.68,+8.85%,10.133M
KYMR,"Kymera Therapeutics, Inc.",42.30,+3.30,+8.46%,1.007M
RIVN,"Rivian Automotive, Inc.",18.11,+1.35,+8.05%,96.941M
NATL,NCR Atleos Corporation,30.05,+2.16,+7.74%,2.122M
RYTM,"Rhythm Pharmaceuticals, Inc.",50.02,+3.42,+7.34%,"624,144"
RUN,Sunrun Inc.,17.20,+1.13,+7.03%,19.206M
FLMMF,Filo Corp.,20.56,+1.32,+6.86%,"17,780"
ENPH,"Enphase Energy, Inc.",119.34,+7.66,+6.86%,5.626M
JOBY,"Joby Aviation, Inc.",6.61,+0.40,+6.44%,13.52M
RNG,"RingCentral, Inc.",30.76,+1.80,+6.22%,1.85M
IPAR,"Inter Parfums, Inc.",129.43,+7.55,+6.19%,"251,584"
USLM,"United States Lime & Minerals, Inc.",395.38,+22.75,+6.11%,"31,382"
TEM,"Tempus AI, Inc",39.76,+2.26,+6.03%,1.631M
RKLB,"Rocket Lab USA, Inc.",5.65,+0.32,+6.00%,11.178M
CLSK,"CleanSpark, Inc.",15.85,+0.89,+5.95%,29.134M
BABAF,Alibaba Group Holding Limited,10.00,+0.56,+5.93%,"18,400"
OTGLY,CD Projekt S.A.,10.06,+0.56,+5.89%,"55,104"
