Ticker,Name,Price,Change,% Change,Volume
NVDA,NVIDIA Corporation,129.24,+1.84,+1.44%,247.608M
YMM,Full Truck Alliance Co. Ltd.,8.25,-0.08,-0.96%,6.299M
FSLR,"First Solar, Inc.",233.24,-0.21,-0.09%,1.581M
IMMR,Immersion Corporation,10.72,+0.11,+1.04%,"753,094"
GILT,Gilat Satellite Networks Ltd.,4.6300,+0.1100,+2.43%,"209,843"
SMCI,"Super Micro Computer, Inc.",909.96,+20.74,+2.33%,5.146M
OSIS,"OSI Systems, Inc.",143.35,+0.99,+0.70%,"78,114"
APLD,Applied Digital Corporation,6.20,+0.32,+5.44%,6.814M
KSPI,Joint Stock Company Kaspi.kz,133.25,+2.32,+1.77%,"82,313"
IONQ,"IonQ, Inc.",8.45,+0.43,+5.36%,5.709M
KVYO,"Klaviyo, Inc.",24.11,+0.25,+1.05%,"503,811"
PSQH,"PSQ Holdings, Inc.",3.9300,+0.0400,+1.03%,"29,605"
CRDO,Credo Technology Group Holding Ltd,30.87,+0.21,+0.68%,1.221M
SRAD,Sportradar Group AG,11.49,+0.20,+1.77%,"291,404"
NXT,Nextracker Inc.,51.76,+0.54,+1.05%,3.306M
GTLB,GitLab Inc.,50.95,-1.13,-2.17%,1.801M
RBRK,"Rubrik, Inc.",33.85,+0.86,+2.61%,"574,782"
