Ticker,Name,Price,Change,% Change,Volume
NVDA,NVIDIA Corporation,129.24,+1.84,+1.44%,247.608M
LCID,"Lucid Group, Inc.",4.2500,+0.8500,+25.00%,167.127M
TSLA,"Tesla, Inc.",248.23,+7.20,+2.99%,155.178M
SOUN,"SoundHound AI, Inc.",6.20,+0.83,+15.46%,106.718M
RIVN,"Rivian Automotive, Inc.",18.11,+1.35,+8.05%,96.941M
F,Ford Motor Company,14.03,+0.56,+4.16%,84.534M
QS,QuantumScape Corporation,8.25,+1.19,+16.86%,62.795M
INTC,Intel Corporation,34.49,+0.99,+2.96%,62.636M
MARA,"Marathon Digital Holdings, Inc.",20.77,+1.75,+9.20%,53.697M
NIO,NIO Inc.,4.8700,+0.1900,+4.06%,50.596M
AMD,"Advanced Micro Devices, Inc.",181.61,-0.33,-0.18%,50.394M
WFC,Wells Fargo & Company,56.54,-3.62,-6.02%,52.887M
PLUG,Plug Power Inc.,3.0700,+0.1400,+4.78%,45.747M
AAPL,Apple Inc.,230.54,+2.97,+1.31%,52.696M
ABR,"Arbor Realty Trust, Inc.",12.89,-2.64,-17.00%,38.125M
T,AT&T Inc.,18.81,-0.05,-0.27%,37.776M
ERIC,Telefonaktiebolaget LM Ericsson (publ),6.68,+0.29,+4.54%,36.54M
SOFI,"SoFi Technologies, Inc.",6.97,+0.20,+2.95%,36.57M
AAL,American Airlines Group Inc.,10.68,-0.05,-0.47%,32.909M
CLSK,"CleanSpark, Inc.",15.85,+0.89,+5.95%,29.134M
PLTR,Palantir Technologies Inc.,28.07,+0.43,+1.56%,30.498M
AMZN,"Amazon.com, Inc.",194.49,-0.56,-0.29%,29.759M
AGNC,AGNC Investment Corp.,10.45,+0.30,+2.96%,29.168M
C,Citigroup Inc.,64.52,-1.19,-1.81%,29.595M
BAC,Bank of America Corporation,41.59,-0.22,-0.53%,30.536M
