Ticker,Name,Price,Change,% Change,Volume
SPCE,"Virgin Galactic Holdings, Inc.",8.17,+0.45,+5.83%,3.54M
ATUS,"Altice USA, Inc.",2.0400,+0.1500,+7.94%,13.104M
CHPT,"ChargePoint Holdings, Inc.",2.2000,+0.2600,+13.40%,31.598M
ROOT,"Root, Inc.",69.41,+6.11,+9.65%,"403,618"
OPEN,Opendoor Technologies Inc.,2.2600,+0.2000,+9.71%,36.645M
HYZN,Hyzon Motors Inc.,0.3375,+0.0243,+7.76%,"517,129"
MPLN,MultiPlan Corporation,0.3893,+0.0206,+5.59%,1.574M
LESL,"Leslie's, Inc.",3.9300,+0.1900,+5.08%,3.736M
FUBO,fuboTV Inc.,1.3400,+0.0700,+5.51%,9.419M
JMIA,Jumia Technologies AG,13.07,+0.99,+8.20%,9.198M
CLNE,Clean Energy Fuels Corp.,2.5900,+0.1500,+6.15%,1.563M
EVGO,"EVgo, Inc.",4.0000,+0.6300,+18.69%,11.324M
DDD,3D Systems Corporation,3.9700,+0.1900,+5.03%,2.245M
EBON,Ebang International Holdings Inc.,6.86,+0.63,+10.11%,"10,800"
MCRB,"Seres Therapeutics, Inc.",1.0700,+0.0920,+9.41%,2.879M
OTLY,Oatly Group AB,1.0100,+0.0550,+5.76%,1.53M
LAZR,"Luminar Technologies, Inc.",1.9150,+0.1750,+10.06%,11.282M
INMD,InMode Ltd.,17.87,+1.05,+6.24%,2.371M
SPWR,SunPower Corporation,2.6900,+0.1500,+5.91%,7.152M
DNMR,"Danimer Scientific, Inc.",0.6800,+0.0755,+12.49%,1.67M
PACB,"Pacific Biosciences of California, Inc.",1.6800,+0.1800,+12.00%,11.4M
UNIT,Uniti Group Inc.,3.4900,+0.1800,+5.44%,2.982M
NOVA,Sunnova Energy International Inc.,7.68,+0.43,+5.93%,10.162M
OPTN,"OptiNose, Inc.",1.2700,+0.0800,+6.72%,"688,768"
AEVA,"Aeva Technologies, Inc.",3.0300,+0.1700,+5.94%,"233,537"
