Ticker,Name,Price,Change,% Change,Volume
F,Ford Motor Company,14.03,+0.56,+4.16%,84.534M
UAL,"United Airlines Holdings, Inc.",44.72,-0.92,-2.02%,8.966M
GM,General Motors Company,49.01,+1.08,+2.25%,15.702M
APA,APA Corporation,29.97,+0.18,+0.60%,4.198M
LAUR,"Laureate Education, Inc.",15.16,+0.10,+0.66%,"514,041"
AEO,"American Eagle Outfitters, Inc.",21.17,+0.09,+0.40%,3.052M
HAL,Halliburton Company,33.94,+0.32,+0.95%,6.776M
CVS,CVS Health Corporation,59.00,+0.79,+1.36%,6.832M
MTCH,"Match Group, Inc.",32.28,+0.73,+2.31%,6.573M
TIGR,UP Fintech Holding Limited,4.5300,-0.0800,-1.74%,"300,723"
BK,The Bank of New York Mellon Corporation,64.69,+3.22,+5.24%,9.386M
PYPL,"PayPal Holdings, Inc.",60.27,+0.28,+0.47%,8.057M
BRK-B,Berkshire Hathaway Inc.,424.44,+5.66,+1.35%,4.805M
DOLE,Dole plc,12.81,+0.14,+1.10%,"379,391"
NOV,NOV Inc.,18.52,+0.16,+0.87%,1.927M
CIG,Companhia Energética de Minas Gerais - CEMIG,1.9200,-0.0200,-1.03%,"659,289"
TGT,Target Corporation,152.85,+1.45,+0.96%,2.601M
ALK,"Alaska Air Group, Inc.",38.41,+0.50,+1.32%,2.244M
FOXA,Fox Corporation,35.73,+0.09,+0.25%,1.532M
URBN,"Urban Outfitters, Inc.",46.67,-1.39,-2.89%,1.9M
SLM,SLM Corporation,21.91,+0.20,+0.92%,1.066M
ACGL,Arch Capital Group Ltd.,96.50,-0.50,-0.52%,1.507M
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",10.64,+0.11,+1.04%,"504,765"
CNC,Centene Corporation,67.86,+0.61,+0.91%,3.922M
EURN,Euronav NV,16.31,0.00,0.00%,"156,752"
