Ticker,Name,Price,Change,% Change,Volume
F,Ford Motor Company,14.03,+0.56,+4.16%,84.534M
BBD,Banco Bradesco S.A.,2.3400,0.0000,0.00%,21.361M
ITUB,Itaú Unibanco Holding S.A.,6.19,0.00,0.00%,11.062M
PBR,Petróleo Brasileiro S.A. - Petrobras,15.09,-0.10,-0.66%,9.247M
UAL,"United Airlines Holdings, Inc.",44.72,-0.92,-2.02%,8.966M
VALE,Vale S.A.,11.52,+0.13,+1.14%,21.343M
MRO,Marathon Oil Corporation,28.45,-0.16,-0.56%,5.676M
GM,General Motors Company,49.01,+1.08,+2.25%,15.702M
HBAN,Huntington Bancshares Incorporated,13.54,+0.08,+0.59%,15.291M
UMC,United Microelectronics Corporation,8.32,+0.06,+0.73%,12.256M
ET,Energy Transfer LP,16.25,-0.06,-0.37%,11.305M
SLB,Schlumberger Limited,46.42,+0.23,+0.50%,6.57M
HST,"Host Hotels & Resorts, Inc.",18.18,+0.32,+1.79%,5.855M
CVE,Cenovus Energy Inc.,19.90,+0.02,+0.10%,3.814M
BP,BP p.l.c.,35.19,+0.14,+0.40%,7.897M
APA,APA Corporation,29.97,+0.18,+0.60%,4.198M
PBR-A,Petróleo Brasileiro S.A. - Petrobras,14.04,-0.09,-0.64%,2.345M
LYG,Lloyds Banking Group plc,3.0200,-0.0100,-0.33%,5.553M
SUZ,Suzano S.A.,9.64,-0.10,-1.03%,1.834M
BKR,Baker Hughes Company,34.50,-0.01,-0.03%,4.739M
SU,Suncor Energy Inc.,38.27,+0.04,+0.10%,2.014M
HAL,Halliburton Company,33.94,+0.32,+0.95%,6.776M
RF,Regions Financial Corporation,20.47,-0.24,-1.16%,11.076M
MPC,Marathon Petroleum Corporation,165.46,+1.17,+0.71%,2.248M
CVS,CVS Health Corporation,59.00,+0.79,+1.36%,6.832M
